artist_name,painting,title,year,medium
Akkitham Narayanan,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/k/akkithamn002.jpg,Untitled,1968.0,Oil on canvas
Akkitham Narayanan,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/k/akkithamn011.jpg,Untitled,1975.0,Mixed media on paper
Akkitham Narayanan,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/k/akkithamn025.jpg,Untitled,1970.0,Mixed media on paper
Akkitham Narayanan,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/k/akkithamn038.jpg,Untitled,1979.0,Mixed media on paper
Akkitham Narayanan,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/k/akkithamn010.jpg,Untitled,,Oil on oil paper
Akkitham Narayanan,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/k/akkithamn055.jpg,Untitled,1973.0,Mixed media on paper
Amrita Sher-Gil,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/s/h/shergilamrita_002c.jpg,Untitled,,Charcoal on handmade paper
Abani Sen,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/b/abanis14.jpg,After the War,,Oil on canvas
Abani Sen,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/a/b/abanis15.jpg,Untitled,,Watercolour and gouache on paper
Akbar Padamsee,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/p/a/padamseea055.jpg,Untitled,2009.0,Charcoal and sketch pen on paper
Akbar Padamsee,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/p/a/padamseea065.jpg,Untitled,2009.0,Charcoal and ink on paper
Akbar Padamsee,https://d197irk3q85upd.cloudfront.net/catalog/product/cache/95dbdf78ad5a0d4b547132f80fbac8f3/p/a/padamseea18.jpg,Untitled,1999.0,Compugraphic print on paper
